Year,Black_Mix,PctBlack
1990,0.040,0.134
1991,0.039,0.133
1992,0.040,0.132
1993,0.041,0.131
1994,0.042,0.130
1995,0.042,0.131
1996,0.041,0.131
1997,0.037,0.132
1998,0.035,0.131
1999,0.034,0.129
2000,0.034,0.127
2001,0.035,0.127
2002,0.035,0.128
2003,0.036,0.128
2004,0.038,0.129
2005,0.040,0.130
2006,0.042,0.136
2007,0.046,0.137
2008,0.048,0.137
2009,0.049,0.137
2010,0.049,0.132
2011,0.049,0.131
2012,0.049,0.129
2013,0.049,0.127
2014,0.047,0.125
2015,0.048,0.123
