High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Medina Valley High School,San Antonio-New Braunfels,Castroville,0.02183,0.603,0.397,0.39,0.433,0.56,1452,20.6,9,5,Minority
Veterans Memorial High School,,Brownsville,0.02183,0.964,0.036,0.37,0.936,0.46,1286,18.4,28,11,Minority
W E Boswell High School,Dallas-Fort Worth-Arlington,Fort Worth,0.02167,0.344,0.656,0.308,0.297,0.54,1445,21,13,7,White
Byron P Steele II High School,San Antonio-New Braunfels,Cibolo,0.02166,0.575,0.425,0.431,0.188,0.55,1454,21.8,22,12,Minority
Killeen High School,,Killeen,0.02160,0.745,0.255,0.593,0.594,0.45,1346,18.5,15,10,Minority
Mansfield Legacy High School,Dallas-Fort Worth-Arlington,Mansfield,0.02156,0.444,0.557,0.367,0.319,0.63,1491,22.3,13,8,White
James W Martin High School,Dallas-Fort Worth-Arlington,Arlington,0.02152,0.349,0.65,0.473,0.255,0.64,1568,23.4,30,17,White
Mission High School,,Mission,0.02145,0.991,0.01,0.633,0.912,0.43,1378,17.3,14,8,Minority
Wylie High School,,Abilene,0.02137,0.176,0.824,0.26,0.089,0.72,1532,23.7,9,5,White
Samuel Clemens High School,San Antonio-New Braunfels,Schertz,0.02137,0.528,0.473,0.438,0.228,0.62,1474,21.8,18,10,Minority
Lufkin High School,,Lufkin,0.02132,0.654,0.345,0.444,0.603,0.48,1504,20.3,20,10,Minority
Mansfield Summit High School,Dallas-Fort Worth-Arlington,Arlington,0.02128,0.671,0.329,0.45,0.522,0.6,1409,20.6,12,9,Minority
John Jay High School,San Antonio-New Braunfels,San Antonio,0.02124,0.899,0.1,0.64,0.667,0.49,1396,19.7,23,13,Minority
Edinburg High School,,Edinburg,0.02118,0.993,0.008,0.698,0.879,0.4,1455,17.5,16,9,Minority
Robert E Lee High School,San Antonio-New Braunfels,San Antonio,0.02107,0.854,0.147,0.6,0.622,0.56,1383,19.7,22,11,Minority
United South High School,,Laredo,0.02107,0.992,0.008,0.557,0.792,0.41,1279,17.3,38,15,Minority
Justin F Kimball High School,Dallas-Fort Worth-Arlington,Dallas,0.02091,0.984,0.015,0.802,0.853,0.34,1104,15.1,16,6,Minority
Canyon High School,San Antonio-New Braunfels,New Braunfels,0.02083,0.474,0.526,0.473,0.308,0.6,1441,21.8,23,11,White
Robert L Paschal High School,Dallas-Fort Worth-Arlington,Fort Worth,0.02062,0.689,0.311,0.548,0.406,0.64,1457,23,32,12,Minority
Smithson Valley High School,San Antonio-New Braunfels,Spring Branch,0.02037,0.393,0.607,0.363,0.127,0.75,1524,22.6,21,11,White
Flour Bluff High School,,Corpus Christi,0.02036,0.443,0.558,0.426,0.292,0.62,1495,22,18,9,White
Mansfield Timberview High Sch,Dallas-Fort Worth-Arlington,Arlington,0.02035,0.768,0.232,0.459,0.455,0.55,1401,19.9,9,7,Minority
Bowie High School,,El Paso,0.02024,0.995,0.005,0.836,0.853,0.37,1205,16.6,8,5,Minority
Los Fresnos High School,,Los Fresnos,0.02024,0.967,0.031,0.502,0.805,0.45,1280,18.3,27,12,Minority
McKinney North High School,Dallas-Fort Worth-Arlington,McKinney,0.02022,0.434,0.566,0.282,0.275,0.7,1546,22,16,9,White
Tomball Memorial High School,Houston-The Woodlands-Sugar Land,Tomball,0.02018,0.348,0.652,0.248,0.129,0.71,1562,23.9,16,9,White
North Dallas High School,Dallas-Fort Worth-Arlington,Dallas,0.02016,0.938,0.063,0.794,0.834,0.34,1134,15.3,7,5,Minority
South Grand Prairie Hs,Dallas-Fort Worth-Arlington,Grand Prairie,0.02014,0.794,0.206,0.517,0.543,0.52,1370,19.7,21,14,Minority
Heritage High School,Dallas-Fort Worth-Arlington,Frisco,0.02009,0.395,0.605,0.252,0.162,0.76,1576,23.2,22,9,White
Americas High School,,El Paso,0.02009,0.964,0.035,0.399,0.576,0.52,1335,18.8,18,9,Minority
Prosper High School,Dallas-Fort Worth-Arlington,Prosper,0.02000,0.246,0.755,0.151,0.083,0.75,1561,23.2,20,8,White
Rouse High School,Austin-Round Rock,Leander,0.02000,0.388,0.611,0.485,0.246,0.63,1486,21.6,20,10,White
Cedar Hill High School,Dallas-Fort Worth-Arlington,Cedar Hill,0.02000,0.915,0.085,0.559,0.583,0.38,1298,18.1,16,11,Minority
Dr Justin Wakeland Hs,Dallas-Fort Worth-Arlington,Frisco,0.01996,0.22,0.78,0.136,0.073,0.82,1591,23.8,22,9,White
Oak Ridge High School,Houston-The Woodlands-Sugar Land,Conroe,0.01987,0.398,0.601,0.345,0.224,0.61,1469,21.5,30,15,White
Victoria East High School,,Victoria,0.01983,0.718,0.282,0.511,0.525,0.36,1405,19.4,11,7,Minority
Psja Memorial High School,,Alamo,0.01978,0.994,0.007,0.701,0.892,0.37,1154,15.9,24,9,Minority
C C Winn High School,,Eagle Pass,0.01970,0.973,0.026,0.708,0.781,0.42,1238,19,11,8,Minority
Cedar Creek High School,Austin-Round Rock,Cedar Creek,0.01953,0.717,0.282,0.716,0.64,0.44,1368,17.8,9,5,Minority
"School Of Government, Law, And Law Enforce",Dallas-Fort Worth-Arlington,Dallas,0.01942,0.944,0.056,0.209,0.791,0.9,1530,21.9,5,2,Minority
Decatur High School,Dallas-Fort Worth-Arlington,Decatur,0.01932,0.316,0.684,0.362,0.319,0.61,1462,21.8,5,4,White
John H Reagan Senior Hs,Houston-The Woodlands-Sugar Land,Houston,0.01927,0.945,0.054,0.698,0.758,0.45,1238,17.5,27,9,Minority
James Pace High School,,Brownsville,0.01923,0.994,0.007,0.596,0.966,0.41,1229,17.8,15,7,Minority
Snyder High School,,Snyder,0.01923,0.559,0.442,0.556,0.363,0.55,-1,20.9,3,3,Minority
Carthage High School,,Carthage,0.01923,0.394,0.606,0.342,0.436,0.55,1454,20.7,3,3,White
Jack C Hays High School,Austin-Round Rock,Buda,0.01907,0.582,0.418,0.412,0.352,0.62,1492,22.2,22,9,Minority
Cypress Lakes High School,Houston-The Woodlands-Sugar Land,Katy,0.01905,0.811,0.188,0.46,0.624,0.53,1427,20.7,31,16,Minority
Cypress Springs High School,Houston-The Woodlands-Sugar Land,Cypress,0.01903,0.852,0.149,0.45,0.695,0.47,1339,17.9,27,11,Minority
John H Reagan High School,Austin-Round Rock,Austin,0.01887,0.948,0.053,0.715,0.825,0.2,1142,16.9,12,4,Minority
Judson Early College Academy,San Antonio-New Braunfels,Universal City,0.01887,0.76,0.242,0.579,0.487,0.89,1536,20.8,5,2,Minority
South Texas Academy Of Medical,,San Benito,0.01887,0.943,0.057,0.356,0.778,0.57,1351,19,3,2,Minority
Dickinson High School,Houston-The Woodlands-Sugar Land,Dickinson,0.01869,0.651,0.35,0.481,0.543,0.6,1360,18.7,16,10,Minority
Rockport-Fulton High School,,Rockport,0.01869,0.394,0.606,0.464,0.455,0.51,1397,20.3,6,4,White
Atascocita High School,Houston-The Woodlands-Sugar Land,Humble,0.01868,0.538,0.462,0.515,0.256,0.54,1467,21.2,21,13,Minority
George Bush High School,Houston-The Woodlands-Sugar Land,Richmond,0.01867,0.809,0.191,0.459,0.575,0.46,1329,17.1,15,9,Minority
Del Rio High School,,Del Rio,0.01866,0.939,0.059,0.461,0.685,0.48,1330,18.2,26,12,Minority
Lake Worth High School,Dallas-Fort Worth-Arlington,Lake Worth,0.01863,0.716,0.284,0.483,0.69,0.33,1280,17.4,3,3,Minority
Boerne High School,San Antonio-New Braunfels,Boerne,0.01860,0.291,0.71,0.41,0.188,0.7,1544,23.6,7,4,White
Alvin High School,Houston-The Woodlands-Sugar Land,Alvin,0.01844,0.536,0.464,0.46,0.474,0.53,1425,21.3,22,9,Minority
Fossil Ridge High School,Dallas-Fort Worth-Arlington,Keller,0.01826,0.474,0.527,0.364,0.396,0.66,1467,20.9,11,9,White
Sunnyvale High School,Dallas-Fort Worth-Arlington,Sunnyvale,0.01818,0.229,0.772,0.12,0.097,0.76,1540,22.8,5,2,White
Dalhart High School,,Dalhart,0.01818,0.503,0.497,0.519,0.426,0.46,1576,20.6,2,2,Minority
Veterans Memorial High School,,Mission,0.01814,0.985,0.016,0.48,0.73,0.49,1363,18.1,14,8,Minority
Royal High School,Houston-The Woodlands-Sugar Land,Pattison,0.01802,0.885,0.115,0.71,0.712,0.49,1309,19.5,4,2,Minority
East View High School,Austin-Round Rock,Georgetown,0.01802,0.549,0.452,0.495,0.458,0.65,1524,22.3,10,6,Minority
Whitehouse High School,,Whitehouse,0.01796,0.25,0.751,0.425,0.307,0.59,1484,21.8,7,6,White
Cesar E Chavez High School,Houston-The Woodlands-Sugar Land,Houston,0.01791,0.949,0.052,0.796,0.816,0.39,1186,17.4,25,12,Minority
South San Antonio High School,San Antonio-New Braunfels,San Antonio,0.01761,0.981,0.019,0.674,0.896,0.43,1261,17.9,18,9,Minority
Sam Houston High School,San Antonio-New Braunfels,San Antonio,0.01744,0.971,0.029,0.792,0.919,0.24,1085,14.9,7,3,Minority
Pilot Point High School,Dallas-Fort Worth-Arlington,Pilot Point,0.01739,0.374,0.625,0.435,0.44,0.58,1427,19.4,2,2,White
Rockdale High School,,Rockdale,0.01739,0.523,0.477,0.539,0.6,0.44,1336,20.4,2,2,Minority
Humble High School,Houston-The Woodlands-Sugar Land,Humble,0.01734,0.859,0.141,0.596,0.596,0.36,1273,17.7,9,6,Minority
Katy High School,Houston-The Woodlands-Sugar Land,Katy,0.01732,0.458,0.541,0.413,0.298,0.61,1518,21.8,28,11,White
Lake Dallas High School,Dallas-Fort Worth-Arlington,Lake Dallas,0.01718,0.349,0.651,0.228,0.278,0.61,1459,22.5,8,5,White
John A Dubiski Career H.S.,Dallas-Fort Worth-Arlington,Grand Prairie,0.01714,0.835,0.166,0.486,0.67,0.7,1417,19.7,9,6,Minority
Granbury Senior High School,Dallas-Fort Worth-Arlington,Granbury,0.01703,0.235,0.765,0.304,0.375,0.58,1485,21.9,12,7,White
Hudson High School,,Lufkin,0.01695,0.305,0.695,0.28,0.444,0.46,1450,21.2,4,3,White
Elgin High School,Austin-Round Rock,Elgin,0.01695,0.671,0.33,0.597,0.642,0.5,1405,20.1,6,5,Minority
Devine High School,San Antonio-New Braunfels,Devine,0.01695,0.622,0.378,0.617,0.457,0.36,1348,19.7,2,2,Minority
La Porte High School,Houston-The Woodlands-Sugar Land,La Porte,0.01691,0.548,0.452,0.402,0.408,0.45,1395,18.9,10,7,Minority
Calhoun High School,,Port Lavaca,0.01681,0.639,0.361,0.47,0.485,0.54,1478,20.5,5,4,Minority
S H Rider High School,,Wichita Falls,0.01679,0.341,0.659,0.42,0.429,0.67,1464,21.6,13,7,White
Magnolia High School,Houston-The Woodlands-Sugar Land,Magnolia,0.01679,0.296,0.705,0.207,0.216,0.62,1495,22.5,12,7,White
J W Nixon High School,,Laredo,0.01671,0.993,0.008,0.583,0.723,0.4,1222,16,17,6,Minority
Sidney Lanier High School,San Antonio-New Braunfels,San Antonio,0.01671,0.984,0.017,0.839,0.922,0.29,1133,15,15,6,Minority
La Feria High School,,La Feria,0.01667,0.972,0.027,0.337,0.76,0.5,1369,18.1,6,3,Minority
Midland High School,,Midland,0.01656,0.644,0.355,0.644,0.216,0.41,1459,20.3,17,10,Minority
Arlington High School,Dallas-Fort Worth-Arlington,Arlington,0.01654,0.588,0.411,0.599,0.519,0.56,1492,22.1,26,11,Minority
Carver Magnet High School,Houston-The Woodlands-Sugar Land,Houston,0.01648,0.981,0.018,0.656,0.72,0.55,1319,18.1,8,3,Minority
Stephenville High School,,Stephenville,0.01648,0.276,0.723,0.336,0.345,0.68,1487,21.8,7,3,White
Bryan High School,,Bryan,0.01644,0.703,0.296,0.674,0.647,0.54,1416,20,13,6,Minority
Kipp Houston High School,Houston-The Woodlands-Sugar Land,Houston,0.01639,0.968,0.032,0.289,0.866,0.76,1469,20.5,8,2,Minority
Waller High School,Houston-The Woodlands-Sugar Land,Waller,0.01629,0.593,0.408,0.456,0.555,0.56,1380,19.6,8,5,Minority
Dr Leo Cigarroa High School,,Laredo,0.01629,0.995,0.005,0.604,0.977,0.43,1178,15.8,7,5,Minority
Timber Creek High School,Dallas-Fort Worth-Arlington,Fort Worth,0.01616,0.371,0.63,0.28,0.216,0.6,1516,22.2,17,10,White
Denton High School,Dallas-Fort Worth-Arlington,Denton,0.01609,0.491,0.51,0.422,0.402,0.53,1472,20.6,15,7,White
Earl Warren High School,San Antonio-New Braunfels,San Antonio,0.01603,0.845,0.155,0.566,0.452,0.61,1370,20,27,10,Minority
Macarthur High School,Dallas-Fort Worth-Arlington,Irving,0.01590,0.789,0.211,0.632,0.651,0.51,1248,19.1,16,9,Minority
Southside High School,San Antonio-New Braunfels,San Antonio,0.01587,0.912,0.088,0.59,0.723,0.57,1226,19,8,4,Minority
Robert E Lee High School,,Tyler,0.01582,0.572,0.428,0.495,0.486,0.57,1466,21.7,15,9,Minority
Colony High School,Dallas-Fort Worth-Arlington,The Colony,0.01580,0.461,0.54,0.253,0.363,0.55,1527,21.9,9,7,White
El Paso High School,,El Paso,0.01577,0.934,0.066,0.607,0.64,0.5,1617,19.4,16,5,Minority
S P Waltrip Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.01577,0.91,0.091,0.757,0.724,0.42,1203,17.5,10,5,Minority
Hondo High School,San Antonio-New Braunfels,Hondo,0.01575,0.67,0.331,0.573,0.518,0.53,1403,20.3,4,2,Minority
South Oak Cliff High School,Dallas-Fort Worth-Arlington,Dallas,0.01569,0.991,0.008,0.84,0.838,0.23,1029,14.4,10,4,Minority
Keller High School,Dallas-Fort Worth-Arlington,Keller,0.01546,0.162,0.837,0.187,0.045,0.83,1637,24.4,21,9,White
Coronado High School,,Lubbock,0.01541,0.59,0.409,0.413,0.412,0.47,1309,21,10,8,Minority
Lamar Consolidated High School,Houston-The Woodlands-Sugar Land,Rosenberg,0.01538,0.768,0.233,0.635,0.516,0.5,1430,20.6,14,5,Minority
Melissa High School,Dallas-Fort Worth-Arlington,Melissa,0.01538,0.25,0.75,0.234,0.148,0.58,1476,21.7,5,2,White
Skyline High School,Dallas-Fort Worth-Arlington,Dallas,0.01530,0.974,0.027,0.652,0.824,0.39,1234,16.6,36,16,Minority
Brenham High School,,Brenham,0.01529,0.443,0.557,0.454,0.389,0.56,1439,19.4,7,5,White
Weslaco High School,,Weslaco,0.01528,0.972,0.029,0.676,0.677,0.52,1553,18.1,13,7,Minority
Texas City High School,Houston-The Woodlands-Sugar Land,Texas City,0.01527,0.619,0.381,0.511,0.552,0.41,1326,19.1,9,6,Minority
John Marshall High School,San Antonio-New Braunfels,San Antonio,0.01520,0.747,0.254,0.573,0.46,0.54,1382,19.7,18,9,Minority
Dillard McCollum High School,San Antonio-New Braunfels,San Antonio,0.01519,0.968,0.033,0.7,0.827,0.48,1179,18.4,14,6,Minority
Moises E Molina High School,Dallas-Fort Worth-Arlington,Dallas,0.01518,0.985,0.014,0.747,0.889,0.44,1161,15.6,19,7,Minority
Franklin High School,,El Paso,0.01504,0.806,0.195,0.541,0.352,0.57,1413,21.4,24,10,Minority
Ellison High School,,Killeen,0.01493,0.749,0.251,0.626,0.467,0.52,1385,19.5,16,7,Minority
Athens Senior High School,,Athens,0.01493,0.589,0.41,0.619,0.672,0.42,1449,19.8,6,3,Minority
Caney Creek High School,Houston-The Woodlands-Sugar Land,Conroe,0.01493,0.468,0.533,0.622,0.622,0.43,1346,18.4,7,5,White
Center High School,,Center,0.01481,0.555,0.444,0.473,0.646,0.47,1208,17.7,2,2,Minority
Navasota High School,,Navasota,0.01471,0.683,0.317,0.625,0.597,0.47,1352,19.3,4,2,Minority
Kaufman High School,Dallas-Fort Worth-Arlington,Kaufman,0.01471,0.412,0.586,0.394,0.527,0.54,1354,20.1,4,3,White
La Grange High School,,La Grange,0.01460,0.38,0.62,0.303,0.376,0.58,1442,21.4,4,2,White
John Paul Stevens High School,San Antonio-New Braunfels,San Antonio,0.01452,0.889,0.111,0.623,0.579,0.49,1328,19.4,12,8,Minority
Evan E Worthing Sr High School,Houston-The Woodlands-Sugar Land,Houston,0.01449,0.991,0.009,0.865,0.734,0.16,1009,15.3,8,2,Minority
Somerset High School,San Antonio-New Braunfels,Somerset,0.01449,0.884,0.116,0.616,0.724,0.3,1231,17,6,3,Minority
Edcouch Elsa High School,,Edcouch,0.01444,0.995,0.005,0.696,0.989,0.46,1237,17.5,6,4,Minority
Alief Hastings High School,Houston-The Woodlands-Sugar Land,Houston,0.01443,0.853,0.147,0.711,0.758,0.46,1248,17.3,27,10,Minority
Memorial High School,,Port Arthur,0.01408,0.908,0.092,0.707,0.644,0.33,1201,16.9,10,6,Minority
Pharr-San Juan-Alamo North Hs,,Pharr,0.01406,0.992,0.008,0.706,0.84,0.39,1424,17,17,7,Minority
Socorro High School,,El Paso,0.01401,0.976,0.024,0.603,0.819,0.46,1223,17.7,10,8,Minority
Midway High School,,Waco,0.01400,0.359,0.641,0.291,0.251,0.69,1559,23.5,12,7,White
Andy Dekaney High School,Houston-The Woodlands-Sugar Land,Houston,0.01396,0.947,0.052,0.666,0.729,0.28,1087,17,17,8,Minority
Gainesville High School,,Gainesville,0.01389,0.678,0.321,0.466,0.675,0.46,1451,20.4,6,2,Minority
Central High School,,San Angelo,0.01389,0.594,0.405,0.39,0.394,0.54,1499,21.7,15,9,Minority
Dayton High School,Houston-The Woodlands-Sugar Land,Dayton,0.01384,0.451,0.548,0.548,0.512,0.51,1375,18.3,4,4,White
La Joya High School,,La Joya,0.01383,0.998,0.002,0.822,0.971,0.41,1217,17,18,7,Minority
Hargrave High School,Houston-The Woodlands-Sugar Land,Huffman,0.01382,0.185,0.815,0.342,0.257,0.53,1444,22.3,4,3,White
Hardin-Jefferson High School,,Sour Lake,0.01379,0.168,0.833,0.283,0.261,0.71,1434,22.2,4,2,White
Weatherford High School,Dallas-Fort Worth-Arlington,Weatherford,0.01378,0.274,0.726,0.459,0.32,0.53,1465,20.9,16,7,White
North Garland High School,Dallas-Fort Worth-Arlington,Garland,0.01375,0.71,0.29,0.595,0.63,0.53,1463,20.9,12,7,Minority
Hutto High School,Austin-Round Rock,Hutto,0.01366,0.601,0.399,0.496,0.404,0.47,1373,20.4,15,5,Minority
Clear Creek High School,Houston-The Woodlands-Sugar Land,League City,0.01365,0.414,0.586,0.434,0.234,0.71,1556,22.7,24,7,White
Celina High School,Dallas-Fort Worth-Arlington,Celina,0.01361,0.27,0.73,0.157,0.227,0.7,1506,21.9,5,2,White
Elsik High School,Houston-The Woodlands-Sugar Land,Houston,0.01359,0.861,0.139,0.689,0.78,0.37,1229,17.5,28,10,Minority
Pasadena Memorial High School,Houston-The Woodlands-Sugar Land,Pasadena,0.01351,0.817,0.182,0.396,0.618,0.62,1394,20.9,25,9,Minority
Cleburne High School,Dallas-Fort Worth-Arlington,Cleburne,0.01351,0.494,0.505,0.578,0.587,0.55,1408,21.6,10,4,White
Nederland High School,,Nederland,0.01351,0.263,0.737,0.406,0.326,0.64,1432,23.8,8,5,White
Pleasant Grove High School,,Texarkana,0.01325,0.208,0.791,0.385,0.12,0.72,1850,22.8,3,2,White
Terrell High School,Dallas-Fort Worth-Arlington,Terrell,0.01322,0.691,0.309,0.803,0.657,0.48,1360,19.9,4,3,Minority
Billy C Ryan High School,Dallas-Fort Worth-Arlington,Denton,0.01321,0.512,0.488,0.49,0.483,0.57,1442,20.4,10,7,Minority
G W Brackenridge High School,San Antonio-New Braunfels,San Antonio,0.01316,0.98,0.021,0.74,0.89,0.43,1181,15.7,19,6,Minority
San Marcos High School,Austin-Round Rock,San Marcos,0.01316,0.777,0.222,0.467,0.621,0.56,1399,19.7,18,6,Minority
Richland Senior High School,Dallas-Fort Worth-Arlington,N Richland Hills,0.01316,0.371,0.63,0.293,0.39,0.64,1524,21.9,11,7,White
Nimitz High School,Houston-The Woodlands-Sugar Land,Houston,0.01313,0.946,0.054,0.707,0.536,0.38,1266,18,11,6,Minority
Summer Creek High School,Houston-The Woodlands-Sugar Land,Houston,0.01311,0.825,0.175,0.47,0.49,0.42,1350,19.5,14,7,Minority
Pleasanton High School,San Antonio-New Braunfels,Pleasanton,0.01310,0.692,0.308,0.629,0.394,0.54,1351,20.1,7,3,Minority
Clint High School,,Clint,0.01307,0.97,0.03,0.521,0.806,0.5,1154,,4,2,Minority
Castleberry High School,Dallas-Fort Worth-Arlington,River Oaks,0.01307,0.788,0.21,0.523,0.694,0.48,1282,17.6,4,2,Minority
Santa Fe High School,Houston-The Woodlands-Sugar Land,Santa Fe,0.01307,0.191,0.809,0.508,0.197,0.38,1389,21,6,4,White
Lancaster High School,Dallas-Fort Worth-Arlington,Lancaster,0.01302,0.968,0.032,0.379,0.795,0.3,1198,16.4,17,5,Minority
La Vernia High School,San Antonio-New Braunfels,La Vernia,0.01293,0.293,0.708,0.316,0.195,0.49,1430,20.6,8,3,White
New Braunfels Senior Hs,San Antonio-New Braunfels,New Braunfels,0.01282,0.432,0.567,0.425,0.243,0.62,1503,22.3,17,7,White
Angleton High School,Houston-The Woodlands-Sugar Land,Angleton,0.01282,0.572,0.428,0.546,0.492,0.55,1406,18.6,12,5,Minority
Lewisville High School,Dallas-Fort Worth-Arlington,Lewisville,0.01282,0.647,0.353,0.447,0.497,0.51,1434,20.1,21,12,Minority
Morton Ranch High School,Houston-The Woodlands-Sugar Land,Katy,0.01274,0.746,0.254,0.511,0.568,0.49,1403,20.3,23,10,Minority
Abilene High School,,Abilene,0.01272,0.612,0.389,0.498,0.531,0.53,1385,20.3,12,5,Minority
Texas High School,,Texarkana,0.01266,0.566,0.433,0.472,0.559,0.6,1584,20.4,12,5,Minority
C E King High School,Houston-The Woodlands-Sugar Land,Houston,0.01263,0.923,0.076,0.671,0.682,0.47,1251,18.1,16,5,Minority
Red Oak High School,Dallas-Fort Worth-Arlington,Red Oak,0.01263,0.545,0.454,0.304,0.385,0.52,1440,21,7,5,Minority
Rowlett High School,Dallas-Fort Worth-Arlington,Rowlett,0.01260,0.56,0.439,0.554,0.345,0.65,1472,21,12,8,Minority
James Madison High School,San Antonio-New Braunfels,San Antonio,0.01253,0.686,0.314,0.544,0.439,0.62,1381,19.2,18,9,Minority
Pharr-San Juan-Alamo High Sch,,San Juan,0.01244,0.994,0.006,0.685,0.875,0.52,1314,17.3,12,5,Minority
Van High School,,Van,0.01242,0.196,0.804,0.483,0.457,0.53,1392,21,2,2,White
Southwest High School,San Antonio-New Braunfels,San Antonio,0.01238,0.939,0.061,0.526,0.799,0.4,1137,17.8,19,9,Minority
Randall High School,,Amarillo,0.01235,0.268,0.733,0.376,0.182,0.64,1497,21.6,4,4,White
Wills Point High School,,Wills Point,0.01220,0.241,0.758,0.535,0.552,0.41,1426,20.3,6,2,White
Eastwood High School,,El Paso,0.01220,0.915,0.085,0.336,0.561,0.54,1279,20.5,12,6,Minority
Thomas A Edison High School,San Antonio-New Braunfels,San Antonio,0.01216,0.978,0.021,0.755,0.899,0.44,1203,16.8,20,4,Minority
Kilgore High School,,Kilgore,0.01215,0.494,0.506,0.413,0.441,0.55,1510,19.5,3,3,White
Port Neches-Groves High School,,Port Neches,0.01212,0.235,0.765,0.394,0.307,0.58,1392,21.3,8,4,White
Harlingen High School,,Harlingen,0.01209,0.923,0.076,0.577,0.659,0.42,1333,18.1,14,7,Minority
Jacksonville High School,,Jacksonville,0.01205,0.675,0.325,0.58,0.719,0.53,1475,18.7,8,3,Minority
Little Cypress-Mauriceville Hs,,Orange,0.01200,0.186,0.813,0.516,0.309,0.56,1442,21.3,4,3,White
Mary Carroll High School,,Corpus Christi,0.01198,0.826,0.175,0.541,0.438,0.48,1357,20.2,11,6,Minority
Ozen High School,,Beaumont,0.01195,0.973,0.026,0.352,0.79,0.36,1226,15.5,7,3,Minority
Northwest High School,Dallas-Fort Worth-Arlington,Justin,0.01195,0.299,0.702,0.332,0.204,0.52,1452,21.8,16,7,White
Harker Heights High School,,Harker Heights,0.01193,0.596,0.404,0.493,0.281,0.51,1465,22.3,15,6,Minority
Uvalde High School,,Uvalde,0.01172,0.892,0.109,0.655,0.692,0.39,1291,18.7,4,3,Minority
Texas Virtual Academy,,Lewisville,0.01163,0.441,0.559,0.25,0.442,0.58,1514,24.3,6,4,White
Harlingen High School South,,Harlingen,0.01142,0.902,0.097,0.652,0.559,0.45,1326,19.3,21,5,Minority
Horizon High School,,El Paso,0.01140,0.969,0.032,0.447,0.87,0.36,1142,16,7,4,Minority
Sam Houston Math Science And Technology,Houston-The Woodlands-Sugar Land,Houston,0.01131,0.978,0.021,0.889,0.881,0.41,1077,15.1,12,5,Minority
Palestine High School,,Palestine,0.01130,0.665,0.334,0.628,0.635,0.44,1389,20.1,5,2,Minority
Sherman High School,,Sherman,0.01124,0.528,0.471,0.429,0.566,0.61,1532,21.3,11,4,Minority
Edinburg North High School,,Edinburg,0.01119,0.976,0.024,0.676,0.856,0.48,1375,18,18,6,Minority
Barbara Jordan High School,Houston-The Woodlands-Sugar Land,Houston,0.01117,0.989,0.011,0.697,0.832,0.33,1100,15.4,9,2,Minority
Brazoswood High School,Houston-The Woodlands-Sugar Land,Clute,0.01113,0.498,0.502,0.456,0.343,0.55,1513,23.1,13,6,White
Tomball High School,Houston-The Woodlands-Sugar Land,Tomball,0.01111,0.367,0.633,0.336,0.261,0.57,1488,22,12,4,White
Haltom High School,Dallas-Fort Worth-Arlington,Haltom City,0.01105,0.6,0.401,0.611,0.658,0.44,1373,19.6,14,6,Minority
Frenship High School,,Wolfforth,0.01092,0.409,0.591,0.283,0.218,0.69,1462,22.3,9,5,White
Sachse High School,Dallas-Fort Worth-Arlington,Sachse,0.01087,0.533,0.466,0.555,0.367,0.6,1472,22.1,14,7,Minority
Crandall High School,Dallas-Fort Worth-Arlington,Crandall,0.01087,0.279,0.721,0.399,0.335,0.63,1464,20.2,2,2,White
El Dorado High School,,El Paso,0.01084,0.931,0.07,0.459,0.65,0.44,1285,18.4,28,9,Minority
Jack Yates High School,Houston-The Woodlands-Sugar Land,Houston,0.01081,0.992,0.008,0.863,0.729,0.26,1077,14.5,5,2,Minority
Galena Park High School,Houston-The Woodlands-Sugar Land,Galena Park,0.01080,0.967,0.032,0.602,0.779,0.53,1333,18.3,7,5,Minority
North Shore Senior High School,Houston-The Woodlands-Sugar Land,Houston,0.01077,0.935,0.065,0.622,0.704,0.47,1314,17.8,20,11,Minority
Chapel Hill High School,,Tyler,0.01075,0.598,0.403,0.58,0.61,0.52,1285,18.7,4,2,Minority
Rivera High School,,Brownsville,0.01073,0.996,0.003,0.672,0.971,0.44,1245,17.4,22,5,Minority
Klein Forest High School,Houston-The Woodlands-Sugar Land,Houston,0.01068,0.849,0.152,0.593,0.752,0.45,1324,18.1,34,8,Minority
North Mesquite High School,Dallas-Fort Worth-Arlington,Mesquite,0.01066,0.836,0.164,0.587,0.722,0.43,1306,18.5,17,6,Minority
James Bowie High School,Dallas-Fort Worth-Arlington,Arlington,0.01064,0.72,0.28,0.671,0.601,0.47,1381,19.7,18,7,Minority
Goose Creek Memorial High School,Houston-The Woodlands-Sugar Land,Baytown,0.01061,0.682,0.318,0.34,0.441,0.46,1345,19.1,14,4,Minority
Pearland High School,Houston-The Woodlands-Sugar Land,Pearland,0.01061,0.498,0.503,0.348,0.263,0.65,1526,22.3,21,7,White
Silsbee High School,,Silsbee,0.01053,0.228,0.772,0.594,0.469,0.48,1388,20.3,3,2,White
Gatesville High School,,Gatesville,0.01053,0.25,0.749,0.357,0.404,0.41,1381,20.8,3,2,White
Robinson High School,,Robinson,0.01053,0.299,0.701,0.38,0.228,0.58,1471,21.8,2,2,White
