High School Name,Metro_Area,HS City,enrolled2015PctSeniors,BlackHispMulti,WhiteOther,atRiskPct,ecoDisPct,collegeReadyBothPct,avgSAT,avgACT,Admitted2015,Enrolled2015,Color
Alamo Heights High School,San Antonio-New Braunfels,San Antonio,0.04843,0.418,0.581,0.183,0.141,0.77,1646,24.7,37,17,White
Clear Springs High School,Houston-The Woodlands-Sugar Land,League City,0.04798,0.395,0.606,0.337,0.147,0.67,1503,22.8,40,25,White
Debakey Hs For Health Professions,Houston-The Woodlands-Sugar Land,Houston,0.04762,0.454,0.546,0.136,0.417,0.97,1870,27.1,33,9,White
Lago Vista High School,Austin-Round Rock,Lago Vista,0.04762,0.249,0.751,0.299,0.238,0.82,1482,23,5,5,White
Allen High School,Dallas-Fort Worth-Arlington,Allen,0.04724,0.294,0.706,0.236,0.137,0.74,1605,24.1,99,66,White
I H Kempner High School,Houston-The Woodlands-Sugar Land,Sugar Land,0.04690,0.458,0.542,0.302,0.353,0.66,1496,22.4,42,28,White
Leander High School,Austin-Round Rock,Leander,0.04566,0.413,0.587,0.516,0.321,0.59,1491,22,26,20,White
Liberty High School,Dallas-Fort Worth-Arlington,Frisco,0.04503,0.234,0.766,0.12,0.082,0.76,1665,25.2,50,24,White
Harmony School Of Advancement,Houston-The Woodlands-Sugar Land,Houston,0.04464,0.609,0.392,0.377,0.423,0.67,1564,25.3,14,5,Minority
A & M Consolidated High School,,College Station,0.04433,0.399,0.6,0.304,0.333,0.74,1615,23.5,36,18,White
Pflugerville High School,Austin-Round Rock,Pflugerville,0.04429,0.683,0.316,0.553,0.437,0.49,1460,21.1,36,26,Minority
Centennial High School,Dallas-Fort Worth-Arlington,Frisco,0.04412,0.271,0.73,0.175,0.1,0.83,1631,24.4,37,24,White
Woodlands High School The,Houston-The Woodlands-Sugar Land,The Woodlands,0.04383,0.261,0.738,0.176,0.03,0.83,1663,24.8,97,43,White
Woodrow Wilson High School,Dallas-Fort Worth-Arlington,Dallas,0.04348,0.763,0.238,0.56,0.601,0.51,1384,19.1,21,14,Minority
Bellville High School,Houston-The Woodlands-Sugar Land,Bellville,0.04225,0.354,0.645,0.467,0.36,0.42,1457,21.8,6,6,White
Claudia Taylor Ladybird Johnso,San Antonio-New Braunfels,San Antonio,0.04149,0.485,0.515,0.292,0.129,0.72,1560,23.9,51,30,White
Marble Falls High School,,Marble Falls,0.04149,0.439,0.56,0.496,0.527,0.5,1431,21.2,13,10,White
Lake Highlands High School,Dallas-Fort Worth-Arlington,Dallas,0.04118,0.598,0.403,0.491,0.488,0.6,1513,19.3,35,21,Minority
Cypress Woods High School,Houston-The Woodlands-Sugar Land,Cypress,0.04113,0.389,0.611,0.21,0.167,0.71,1586,23.9,52,32,White
David Crockett High School,Austin-Round Rock,Austin,0.04110,0.833,0.167,0.564,0.664,0.45,1289,18.2,14,12,Minority
Klein High School,Houston-The Woodlands-Sugar Land,Klein,0.04082,0.422,0.578,0.371,0.279,0.66,1583,23.9,61,36,White
Stony Point High School,Austin-Round Rock,Round Rock,0.04065,0.65,0.352,0.43,0.4,0.61,1435,20.3,28,20,Minority
Tom C Clark High School,San Antonio-New Braunfels,San Antonio,0.04026,0.631,0.369,0.497,0.32,0.72,1557,23,45,25,Minority
Cedar Ridge High School,Austin-Round Rock,Round Rock,0.04025,0.533,0.467,0.369,0.271,0.6,1495,22.1,38,26,Minority
Dawson High School,Houston-The Woodlands-Sugar Land,Pearland,0.04000,0.527,0.475,0.193,0.227,0.68,1569,22.9,40,19,Minority
Garza Early College High School,Dallas-Fort Worth-Arlington,Dallas,0.03960,0.979,0.021,0.208,0.84,0.86,1422,20.1,7,4,Minority
Coronado High School,,El Paso,0.03959,0.804,0.197,0.419,0.418,0.61,1526,22.7,45,23,Minority
Ranchview High School,Dallas-Fort Worth-Arlington,Irving,0.03955,0.634,0.367,0.336,0.467,0.56,1469,20.3,9,7,Minority
Kingwood High School,Houston-The Woodlands-Sugar Land,Kingwood,0.03954,0.186,0.813,0.264,0.047,0.73,1644,25.2,43,24,White
Mirabeau B Lamar Sr High Sch,Houston-The Woodlands-Sugar Land,Houston,0.03939,0.694,0.306,0.491,0.477,0.64,1445,22.5,58,31,Minority
Stafford High School,Houston-The Woodlands-Sugar Land,Stafford,0.03879,0.888,0.113,0.543,0.572,0.43,1336,19.5,12,9,Minority
Lovejoy High School,Dallas-Fort Worth-Arlington,Lucas,0.03861,0.134,0.865,0.084,0.022,0.84,1678,25.6,15,10,White
Georgetown High School,Austin-Round Rock,Georgetown,0.03855,0.312,0.689,0.373,0.233,0.67,1561,23.1,23,16,White
Harmony Science Academy,Houston-The Woodlands-Sugar Land,Houston,0.03846,0.713,0.288,0.469,0.755,0.73,1527,21.5,13,5,Minority
Cypress Ridge High School,Houston-The Woodlands-Sugar Land,Houston,0.03846,0.77,0.23,0.486,0.631,0.55,1405,20.2,35,26,Minority
Eagle Pass High School,,Eagle Pass,0.03820,0.983,0.017,0.481,0.738,0.58,1343,19.6,30,17,Minority
Cy-Fair Senior High School,Houston-The Woodlands-Sugar Land,Cypress,0.03808,0.426,0.573,0.287,0.285,0.69,1578,23.4,59,31,White
China Spring High School,,China Spring,0.03759,0.18,0.819,0.341,0.202,0.69,1535,22.3,6,5,White
Northside Health Careers Hs,San Antonio-New Braunfels,San Antonio,0.03756,0.602,0.397,0.257,0.29,0.95,1687,25.3,22,8,Minority
Westside High School,Houston-The Woodlands-Sugar Land,Houston,0.03752,0.711,0.289,0.577,0.542,0.55,1377,22.2,37,20,Minority
Grapevine Senior High School,Dallas-Fort Worth-Arlington,Grapevine,0.03740,0.278,0.72,0.317,0.166,0.8,1615,24.5,41,19,White
Elkins High School,Houston-The Woodlands-Sugar Land,Missouri City,0.03734,0.575,0.425,0.322,0.241,0.64,1508,21.1,31,18,Minority
Liberty Hill High School,Austin-Round Rock,Liberty Hill,0.03734,0.195,0.805,0.349,0.18,0.67,1524,24,14,9,White
Richland Collegiate Hs,Dallas-Fort Worth-Arlington,Dallas,0.03670,0.445,0.554,0.081,0.276,0.88,1612,23.9,11,8,White
Eastside Memorial Hs Johnston,Austin-Round Rock,Austin,0.03670,0.956,0.043,0.8,0.885,0.31,1200,15.9,5,4,Minority
Ronald Reagan High School,San Antonio-New Braunfels,San Antonio,0.03666,0.486,0.515,0.263,0.099,0.78,1596,24.4,51,25,White
Temple High School,,Temple,0.03631,0.694,0.306,0.619,0.615,0.54,1459,21.1,15,13,Minority
McAllen Memorial High School,,McAllen,0.03597,0.937,0.063,0.507,0.55,0.62,1493,19.5,24,15,Minority
Klein Oak High School,Houston-The Woodlands-Sugar Land,Spring,0.03592,0.401,0.599,0.359,0.254,0.63,1555,23.1,49,31,White
Trinity High School,Dallas-Fort Worth-Arlington,Euless,0.03557,0.501,0.499,0.402,0.458,0.62,1489,21.4,36,27,Minority
Ball High School,Houston-The Woodlands-Sugar Land,Galveston,0.03555,0.688,0.313,0.397,0.615,0.49,1363,20.3,21,15,Minority
Richard King High School,,Corpus Christi,0.03495,0.747,0.253,0.512,0.39,0.55,1466,20.4,28,18,Minority
Winston Churchill High School,San Antonio-New Braunfels,San Antonio,0.03488,0.579,0.421,0.422,0.298,0.66,1533,22.7,38,24,Minority
Richardson High School,Dallas-Fort Worth-Arlington,Richardson,0.03467,0.645,0.355,0.425,0.49,0.68,1517,20.2,37,19,Minority
Hendrickson High School,Austin-Round Rock,Pflugerville,0.03415,0.611,0.387,0.447,0.365,0.53,1442,21,31,21,Minority
Cypress Ranch High School,Houston-The Woodlands-Sugar Land,Cypress,0.03403,0.361,0.639,0.182,0.115,0.73,1553,22.7,51,26,White
Jersey Village High School,Houston-The Woodlands-Sugar Land,Houston,0.03399,0.683,0.317,0.417,0.51,0.62,1499,21.6,39,26,Minority
Cypress Falls High School,Houston-The Woodlands-Sugar Land,Houston,0.03388,0.637,0.364,0.385,0.466,0.6,1485,21,46,27,Minority
Byron Nelson High School,Dallas-Fort Worth-Arlington,Trophy Club,0.03383,0.291,0.709,0.221,0.132,0.62,1535,23.2,26,18,White
Lanier High School,Austin-Round Rock,Austin,0.03367,0.934,0.067,0.753,0.858,0.4,1193,15.4,14,10,Minority
Hillcrest High School,Dallas-Fort Worth-Arlington,Dallas,0.03346,0.864,0.135,0.679,0.774,0.45,1309,17.5,17,9,Minority
Gregory-Portland High School,,Portland,0.03333,0.562,0.439,0.479,0.323,0.65,1441,19.5,13,9,Minority
George Ranch High School,Houston-The Woodlands-Sugar Land,Richmond,0.03326,0.497,0.502,0.319,0.21,0.71,1497,22.1,27,16,White
Edward S Marcus High School,Dallas-Fort Worth-Arlington,Flower Mound,0.03294,0.184,0.815,0.141,0.071,0.79,1655,24.5,46,25,White
Arlington Heights High School,Dallas-Fort Worth-Arlington,Fort Worth,0.03279,0.708,0.291,0.604,0.424,0.55,1325,22.3,13,10,Minority
Lehman High School,Austin-Round Rock,Kyle,0.03252,0.805,0.194,0.499,0.574,0.43,1334,19.3,25,16,Minority
W Charles Akins High School,Austin-Round Rock,Austin,0.03249,0.867,0.134,0.582,0.693,0.47,1297,17.9,26,18,Minority
Ridge Point High School,Houston-The Woodlands-Sugar Land,Missouri City,0.03240,0.546,0.452,0.248,0.169,0.71,1524,22.3,27,15,Minority
Canton High School,,Canton,0.03226,0.163,0.837,0.259,0.305,0.67,1549,23.8,4,4,White
Friendswood High School,Houston-The Woodlands-Sugar Land,Friendswood,0.03195,0.172,0.828,0.247,0.054,0.82,1642,25,41,17,White
McKinney Boyd High School,Dallas-Fort Worth-Arlington,McKinney,0.03193,0.304,0.696,0.191,0.16,0.75,1602,24.1,37,22,White
Mayde Creek High School,Houston-The Woodlands-Sugar Land,Houston,0.03169,0.717,0.282,0.523,0.581,0.56,1403,20.1,25,18,Minority
Manvel High School,Houston-The Woodlands-Sugar Land,Manvel,0.03166,0.703,0.298,0.343,0.392,0.55,1413,19.7,36,17,Minority
