Year,White_Other,PctAngloOther
1990,0.835,0.548
1991,0.830,0.548
1992,0.823,0.547
1993,0.815,0.547
1994,0.811,0.548
1995,0.812,0.552
1996,0.812,0.553
1997,0.821,0.555
1998,0.826,0.555
1999,0.828,0.556
2000,0.831,0.484
2001,0.830,0.485
2002,0.828,0.484
2003,0.820,0.481
2004,0.811,0.476
2005,0.799,0.468
2006,0.786,0.458
2007,0.776,0.450
2008,0.771,0.439
2009,0.766,0.428
2010,0.757,0.423
2011,0.751,0.417
2012,0.742,0.423
2013,0.734,0.406
2014,0.735,0.399
2015,0.730,0.394
