Year,Hispanic,PctHisp
1990,0.125,0.318
1991,0.131,0.319
1992,0.137,0.321
1993,0.144,0.323
1994,0.147,0.322
1995,0.147,0.318
1996,0.147,0.315
1997,0.142,0.314
1998,0.139,0.314
1999,0.137,0.315
2000,0.135,0.389
2001,0.136,0.388
2002,0.138,0.389
2003,0.143,0.391
2004,0.151,0.395
2005,0.161,0.401
2006,0.171,0.406
2007,0.178,0.413
2008,0.181,0.423
2009,0.185,0.435
2010,0.194,0.445
2011,0.200,0.453
2012,0.209,0.447
2013,0.217,0.467
2014,0.218,0.476
2015,0.221,0.483
